"Date"   , "WeekDay"   , "Holiday Name"                      , "Holiday Type"
"Jan 1"  , "Friday"    , "New Year's Day"                    , "National Holiday"
"Feb 6"  , "Saturday"  , "Carnival Saturday"                 , "Observance"
"Feb 7"  , "Sunday"    , "Carnival Sunday"                   , "Observance"
"Feb 8"  , "Monday"    , "Carnival Monday"                   , "Optional Holiday"
"Feb 9"  , "Tuesday"   , "Carnival Tuesday"                  , "Optional Holiday"
"Feb 10" , "Wednesday" , "Carnival end (until 2pm)"          , "Optional Holiday"
"Mar 20" , "Sunday"    , "March Equinox"                     , "Season"
"Mar 25" , "Friday"    , "Good Friday"                       , "National Holiday"
"Mar 27" , "Sunday"    , "Easter Sunday"                     , "Observance"
"Apr 21" , "Thursday"  , "Tiradentes Day"                    , "National Holiday"
"May 1"  , "Sunday"    , "Labor Day / May Day"               , "National Holiday"
"May 8"  , "Sunday"    , "Mother's Day"                      , "Observance"
"May 26" , "Thursday"  , "Corpus Christi"                    , "Optional Holiday"
"Jun 12" , "Sunday"    , "Brazilian Valentine's Day"         , "Observance"
"Jun 20" , "Monday"    , "June Solstice"                     , "Season"
"Aug 5"  , "Friday"    , "Rio 2016 Summer Olympics start"    , "Observance"
"Aug 14" , "Sunday"    , "Father's Day"                      , "Observance"
"Aug 21" , "Sunday"    , "Rio 2016 Summer Olympics end"      , "Observance"
"Sep 7"  , "Wednesday" , "Independence Day"                  , "National Holiday"
"Sep 7"  , "Wednesday" , "Rio 2016 Summer Paralympics start" , "Observance"
"Sep 18" , "Sunday"    , "Rio 2016 Summer Paralympics end"   , "Observance"
"Sep 22" , "Thursday"  , "September Equinox"                 , "Season"
"Oct 12" , "Wednesday" , "Our Lady Aparecida/Children's Day" , "National Holiday"
"Oct 15" , "Saturday"  , "Teacher's Day"                     , "Observance"
"Oct 28" , "Friday"    , "Public Service Holiday"            , "Optional Holiday"
"Nov 2"  , "Wednesday" , "All Souls' Day"                    , "National Holiday"
"Nov 15" , "Tuesday"   , "Republic Proclamation Day"         , "National Holiday"
"Nov 20" , "Sunday"    , "Black Consciousness Day"           , "Observance"
"Dec 21" , "Wednesday" , "December Solstice"                 , "Season"
"Dec 24" , "Saturday"  , "Christmas Eve (from 2pm)"          , "Optional Holiday"
"Dec 25" , "Sunday"    , "Christmas Day"                     , "National Holiday"
"Dec 31" , "Saturday"  , "New Year's Eve (from 2pm)"         , "Optional Holiday"
